TestCase_ID,request_type,request_name,Endpoint,userId,roleId,userRoleStatus,userFirstName,userLastName,userLocation,userMiddleName,userPhoneNumber,userLinkedinUrl,userEduPg,userEduUg,userTimeZone,userVisaStatus,loginStatus,userLoginEmail,userRoleStatus,password,userRoleProgramBatchStatus,userComments,ProgramDescription,ProgramName,ProgramStatus,batchDescription,batchId,batchname,batchNoOfClasses,batchStatus,programId,programName,Comment,classNo,classDate,classTopic,classStatus,classStaffId,classDescription,classComments,classNotes,classRecordingPath,Response_Status_Code,expectedstatusline
C_POST_TC_01,POST,Create classes,CreateClassSchedule,,,,,,,,,,,,,,,,,,,,,,,,9499,,,,,,,1,2025-03-26T19:04:41.220Z,SoftSkills20,Scheduled,U25,Botany Introduction,Bring Notepad,Bring Questions to class,check biology folder,201,Created
C_POST_TC_02,POST,Create classes without Authorization,CreateClassSchedule,,,,,,,,,,,,,,,,,,,,,,,,9499,,,,,,,1,2025-03-26T19:04:41.220Z,Looker0,Scheduled,U25,Botany Introduction,Bring Notepad,Bring Questions to class,check biology folder,401,Unauthorized
C_POST_TC_03,POST,Create classes with invalid endpoint,InvalidEndpoint,,,,,,,,,,,,,,,,,,,,,,,,9499,,,,,,,1,2025-03-26T19:04:41.220Z,Tableau,Scheduled,U25,Botany Introduction,Bring Notepad,Bring Questions to class,check biology folder,404,Not Found
C_POST_TC_04,POST,Create classes with duplicate ClassTopic,CreateClassSchedule,,,,,,,,,,,,,,,,,,,,,,,,9499,,,,,,,1,2025-03-26T19:04:41.220Z,SQL,Scheduled,U25,Botany Introduction,Bring Notepad,Bring Questions to class,check biology folder,400,Bad Request
C_POST_TC_05,POST,Create classes with missing mandatory fields,CreateClassSchedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-26T19:04:41.220Z,,Scheduled,U25,,,,check biology folder,400,Bad Request
C_GET_TC_06,GET,Get all classes,allClasses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,OK
C_GET_TC_07,GET,Get all classes with invalid endpoint,InvalidEndpoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404,Not Found
C_GET_TC_08,GET,Get all classes with invalid method,allClasses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405,Method Not Allowed
C_GET_TC_09,GET,Get all classes without Authorization,allClasses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401,Unauthorized
C_GET_TC_10,GET,Get class by valid Class ID,class,,,,,,,,,,,,,,,,,,,,,,,,9499,,,,,,,1,2025-03-26T19:04:41.220Z,Botany,Scheduled,U25,Botany Introduction,Bring Notepad,Bring Questions to class,check biology folder,200,OK
C_GET_TC_11,GET,Get class by invalid Class ID,class/1223,,,,,,,,,,,,,,,,,,,,,,,,9499,,,,,,,1,2025-03-26T19:04:41.220Z,Botany,Scheduled,U25,Botany Introduction,Bring Notepad,Bring Questions to class,check biology folder,404,Not Found
C_GET_TC_12,GET,Get class without Authorization,class,,,,,,,,,,,,,,,,,,,,,,,,9499,,,,,,,1,2025-03-26T19:04:41.220Z,Botany,Scheduled,U25,Botany Introduction,Bring Notepad,Bring Questions to class,check biology folder,401,Unauthorized
C_GET_TC_13,GET,Get classes by valid Batch ID,classesbyBatch/9499,,,,,,,,,,,,,,,,,,,,,,,,9499,,,,,,,1,2025-03-26T19:04:41.220Z,Botany,Scheduled,U25,Botany Introduction,Bring Notepad,Bring Questions to class,check biology folder,200,OK
C_GET_TC_14,GET,Get classes by invalid Batch ID,classesbyBatch/9492,,,,,,,,,,,,,,,,,,,,,,,,9999,,,,,,,1,2025-03-26T19:04:41.220Z,Botany,Scheduled,U25,Botany Introduction,Bring Notepad,Bring Questions to class,check biology folder,404,Not Found
C_GET_TC_15,GET,Get classes by valid Staff ID,classesByStaff/U25,,,,,,,,,,,,,,,,,,,,,,,,9999,,,,,,,1,2025-03-26T19:04:41.220Z,Botany,Scheduled,U25,Botany Introduction,Bring Notepad,Bring Questions to class,check biology folder,200,OK
C_GET_TC_16,GET,Get classes by invalid Staff ID,classesByStaff/U278,,,,,,,,,,,,,,,,,,,,,,,,9499,,,,,,,1,2025-03-26T19:04:41.220Z,Botany,Scheduled,U99,Botany Introduction,Bring Notepad,Bring Questions to class,check biology folder,404,Not Found
C_GET_TC_17,GET,Get class recordings by valid Class ID,classRecordings/829,,,,,,,,,,,,,,,,,,,,,,,,9499,,,,,,,1,2025-03-26T19:04:41.220Z,Botany,Scheduled,U25,Botany Introduction,Bring Notepad,Bring Questions to class,check biology folder,200,OK
C_GET_TC_18,GET,Get class recordings by invalid Class ID,classRecordings/55,,,,,,,,,,,,,,,,,,,,,,,,9499,,,,,,,1,2025-03-26T19:04:41.220Z,Botany,Scheduled,U25,Botany Introduction,Bring Notepad,Bring Questions to class,check biology folder,404,Not Found
C_PUT_TC_19,PUT,Update class with valid Class ID,updateClass/829,,,,,,,,,,,,,,,,,,,,,,,,9499,,,,,,,1,2025-03-26T19:04:41.220Z,Botany,Scheduled,U25,Botany Introduction,Bring Notepad,Bring Questions to class,check biology folder,200,OK
C_PUT_TC_20,PUT,Update class with invalid Class ID,updateClass/16,,,,,,,,,,,,,,,,,,,,,,,,9999,,,,,,,1,2025-03-26T19:04:41.220Z,Botany,Scheduled,U25,Botany Introduction,Bring Notepad,Bring Questions to class,check biology folder,404,Not Found
C_PUT_TC_21,PUT,Update class without Authorization,updateClass/829,,,,,,,,,,,,,,,,,,,,,,,,9499,,,,,,,1,2025-03-26T19:04:41.220Z,Botany,Scheduled,U25,Botany Introduction,Bring Notepad,Bring Questions to class,check biology folder,401,Unauthorized
C_PUT_TC_22,PUT,Update class recording path with valid Class ID,updateClassrecording/{classId},,,,,,,,,,,,,,,,,,,,,,,,9499,,,,,,,1,2025-03-26T19:04:41.220Z,Botany,Scheduled,U25,Botany Introduction,Bring Notepad,Bring Questions to class,check biology folder,200,OK
C_PUT_TC_23,PUT,Update class recording path with invalid Class ID,updateClassrecording/{classId},,,,,,,,,,,,,,,,,,,,,,,,9999,,,,,,,1,2025-03-26T19:04:41.220Z,Botany,Scheduled,U25,Botany Introduction,Bring Notepad,Bring Questions to class,check biology folder,404,Not Found
C_DEL_TC_24,DELETE,Delete class with valid Class ID,deleteByClass/829,829,,,,,,,,,,,,,,,,,,,,,,,9499,,,,,,,1,2025-03-26T19:04:41.220Z,Botany,Scheduled,U25,Botany Introduction,Bring Notepad,Bring Questions to class,check biology folder,200,OK
C_DEL_TC_25,DELETE,Delete class with invalid Class ID,deleteByClass/{classId},,,,,,,,,,,,,,,,,,,,,,,,9999,,,,,,,1,2025-03-26T19:04:41.220Z,Botany,Scheduled,U25,Botany Introduction,Bring Notepad,Bring Questions to class,check biology folder,404,Not Found
C_DEL_TC_26,DELETE,Delete class without Authorization,deleteByClass/{classId},,,,,,,,,,,,,,,,,,,,,,,,9499,,,,,,,1,2025-03-26T19:04:41.220Z,Botany,Scheduled,U25,Botany Introduction,Bring Notepad,Bring Questions to class,check biology folder,401,Unauthorized
C_DEL_TC_27,GET,Get classes by valid Class Topic,classes/Botany,,,,,,,,,,,,,,,,,,,,,,,,9499,,,,,,,1,2025-03-26T19:04:41.220Z,Botany,Scheduled,U25,Botany Introduction,Bring Notepad,Bring Questions to class,check biology folder,200,OK
C_DEL_TC_28,GET,Get classes by invalid Class Topic,classes/nothing,,,,,,,,,,,,,,,,,,,,,,,,9499,,,,,,,1,2025-03-26T19:04:41.220Z,InvalidTopic,Scheduled,U25,Botany Introduction,Bring Notepad,Bring Questions to class,check biology folder,404,Not Found
